2,2024-01-01 01:49:58,2024-01-01 01:56:14,2,0.99,1,N,107,90,1,7.9,1.0,0.5,2.0,0.0,1.0,14.9,2.5,0.0
2,2024-01-01 01:56:13,2024-01-01 02:12:24,1,1.68,1,N,161,233,1,14.9,1.0,0.5,4.97,0.0,1.0,24.87,2.5,0.0
2,2024-01-01 01:04:42,2024-01-01 01:13:17,2,3.04,1,N,244,243,1,14.9,1.0,0.5,1.0,0.0,1.0,18.4,0.0,0.0
2,2024-01-01 01:23:18,2024-01-01 01:42:12,2,6.75,1,N,244,18,1,30.3,1.0,0.5,7.0,0.0,1.0,39.8,0.0,0.0
2,2024-01-01 01:14:49,2024-01-01 01:22:23,3,1.11,1,N,234,114,1,9.3,1.0,0.5,3.0,0.0,1.0,17.3,2.5,0.0
2,2024-01-01 01:23:22,2024-01-01 01:46:50,2,4.76,1,N,114,140,1,25.4,1.0,0.5,6.08,0.0,1.0,36.48,2.5,0.0
1,2024-01-01 01:43:37,2024-01-01 01:54:10,1,2.0,1,N,163,236,1,10.7,3.5,0.5,3.95,0.0,1.0,19.65,2.5,0.0
1,2024-01-01 01:55:03,2024-01-01 02:06:02,1,1.8,1,N,263,239,1,11.4,3.5,0.5,3.28,0.0,1.0,19.68,2.5,0.0
2,2024-01-01 01:17:31,2024-01-01 01:37:40,1,3.53,1,N,238,229,1,21.2,1.0,0.5,5.24,0.0,1.0,31.44,2.5,0.0
2,2024-01-01 01:41:01,2024-01-01 01:55:37,1,1.64,1,N,229,170,1,14.2,1.0,0.5,3.84,0.0,1.0,23.04,2.5,0.0
2,2024-01-01 01:57:13,2024-01-01 02:11:27,1,3.05,1,N,170,236,1,17.0,1.0,0.5,1.0,0.0,1.0,23.0,2.5,0.0
2,2024-01-01 01:34:30,2024-01-01 02:02:40,1,19.59,1,N,132,33,1,72.3,1.0,0.5,14.9
